,title,company,rating,location,salary,summary
20,Infrastructure Engineer,Codenetix,,"Hyderabad, Telangana•Remote","₹10,000 - ₹20,000 a month","Installs and maintains interoperability of all servers utilizing various OS including, but not limited to Windows, Linux, and UNIX.5 days ago·More...View all Codenetix jobs - Hyderabad jobsSalary Search: Infrastructure Engineer salaries in Hyderabad, Telangana"
21,Cloud DevOps Engineer,Influencer labs,,"Bengaluru, Karnataka","₹15,00,000 - ₹20,00,000 a year","Must Have Skills*: Cloud: Extensive hands-on experience on AWS cloud and have worked on following AWS services, EC2, VPC, Subnet, Firewalls, NAT gateway, ECR,…8 days ago·More...View all Influencer labs jobs - Bengaluru jobsSalary Search: Cloud DevOps Engineer salaries in Bengaluru, Karnataka"
22,Cloud Engineer,Zynga,3.8,"Bengaluru, Karnataka",,"Experience with VMs and containers hosted on cloud platforms.Work with studio partners to upgrade/manage infrastructure deployments and applications hosted in…1 day ago·More...View all Zynga jobs - Bengaluru jobsSalary Search: Cloud Engineer salaries in Bengaluru, KarnatakaSee popular questions & answers about Zynga"
23,CLOUD INFRASTRUCTURE ENGINEER,SWIFTANT,,"Hosur, Tamil Nadu",,2+ years of experience in ‘migrating” on premise workloads to the cloud.The ideal candidate will have experience in customer-facing roles and success leading…30+ days ago·More...View all SWIFTANT jobs - Hosur jobsSalary Search: CLOUD INFRASTRUCTURE ENGINEER salaries
24,Cloud Deployment Engineer,Adobe,4.3,"Bengaluru, Karnataka",,"Adobe is driving its business into the Clouds and is looking for key engineers to help us get there.We are looking for someone who has hands on Enterprise…23 days ago·More...View all Adobe jobs - Bengaluru jobsSalary Search: Cloud Deployment Engineer salaries in Bengaluru, KarnatakaSee popular questions & answers about Adobe"
25,Openstack Cloud Engineer - IN (Morning Shift),Rackspace,3.7,Remote,,Resolve matters escalated by Level 1 and 2 engineers.Contributes to curriculum used to train junior engineers and administrators.30+ days ago·More...View all Rackspace jobs - Remote jobsSalary Search: Openstack Cloud Engineer - IN (Morning Shift) salaries in Remote
26,Demonstration Engineer - Supply Chain Planning Cloud,Oracle,3.8,"Hyderabad, Telangana",,"Demo Content Engineering is responsible for bringing compelling stories to life through powerful visualizations.Solid understanding of supply-chain processes.18 days ago·More...View all Oracle jobs - Hyderabad jobsSalary Search: Demonstration Engineer - Supply Chain Planning Cloud salaries in Hyderabad, TelanganaSee popular questions & answers about Oracle"
27,DevOps Engineer,Caribou Technologies Private Limited,,"Hyderabad, Telangana•Temporarily Remote","₹3,50,000 - ₹7,00,000 a year","Working knowledge of cloud technologies like AWS etc.*.Experience in IT infrastructure Automation framework like Ansible playbooks*.10 days ago·More...View all Caribou Technologies Private Limited jobs - Hyderabad jobsSalary Search: DevOps Engineer salaries in Hyderabad, Telangana"
28,Cloud Engineer,Luxoft,4.4,"Hyderabad, Telangana",,"Must have experience with virtualization (cloud or non-cloud).Utilize Public cloud-based APIs when appropriate to write network/system level tools for securing…30+ days ago·More...View all Luxoft jobs - Hyderabad jobsSalary Search: Cloud Engineer salaries in Hyderabad, TelanganaSee popular questions & answers about Luxoft"
29,Business Development Manager,Iron Mountain,3.6,"Hyderabad, Telangana+1 location","₹10,00,000 - ₹15,00,000 a year","Areas of responsibility include prospecting, networking and executing on sales campaigns aimed to solve customer challenges using Machine Learning, Analytics,…1 day ago·More...View all Iron Mountain jobs - Hyderabad jobsSalary Search: Business Development Manager salaries in Hyderabad, TelanganaSee popular questions & answers about Iron Mountain"
30,Cloud Engineer,UKG (Ultimate Kronos Group),4.1,"Noida, Uttar Pradesh",,"Experience working with public cloud – Google Preferred.UKG is seeking an Infrastructure Support Engineer capable of integrating into an experienced team…30+ days ago·More...View all UKG (Ultimate Kronos Group) jobs - Noida jobsSalary Search: Cloud Engineer salaries in Noida, Uttar Pradesh"
31,Cloud Security Engineer,Careers at Tide,,"Hyderabad, Telangana",,"Be a point of contact for any cloud security incidents.Defining and embedding security best practice and standards into our cloud engineering teams.11 days ago·More...View all Careers at Tide jobs - Hyderabad jobsSalary Search: Cloud Security Engineer salaries in Hyderabad, Telangana"
32,Staff Cloud Engineer,Teradata,3.8,"Hyderabad, Telangana+1 location",,"It provides ongoing management of the Teradata products and services on cloud (across different providers).They may also participate in solution building for…8 days ago·More...View all Teradata jobs - Hyderabad jobsSalary Search: Staff Cloud Engineer salaries in Hyderabad, TelanganaSee popular questions & answers about Teradata"
