,title,company,rating,location,salary,summary
20,Python Developer,Aryan Group,,"Bengaluru, Karnataka","₹30,000 - ₹75,000 a month"," Expert in Python, with knowledge of Python Flask web framework. Familiarity with some ORM (Object Relational Mapper) libraries like SQL.6 days ago·More...View all Aryan Group jobs - Bengaluru jobsSalary Search: Python Developer salaries in Bengaluru, Karnataka"
21,Python Developer,Integrated Personnel Services,,"Bengaluru, Karnataka",,"CI/CD, DevOps – Jenkins, Git, Gerrit.Exposure to cloud native – Docker & Kubernetes.Machine learning experience would be added advantage.30+ days ago"
22,Python Developer,DevOps Enabler & Co.,,"Bengaluru, Karnataka•Temporarily Remote","₹80,000 a month","Expert in Python, with knowledge of Python Flask web framework.Familiarity with some ORM (Object Relational Mapper) libraries like SQL Alchemy.2 days ago·More...View all DevOps Enabler & Co. jobs - Bengaluru jobsSalary Search: Python Developer salaries in Bengaluru, Karnataka"
23,Python Developer | 2 to 4 years | Bengaluru & Pune,Capgemini,3.8,"Pune, Maharashtra",,"Automation tools Python Python 3 x advanced level lists dictionaries classes packages code repositories schedule jobs for enterprise data migration conversion…3 days ago·More...View all Capgemini jobs - Pune jobsSalary Search: Python Developer | 2 to 4 years | Bengaluru & Pune salaries in Pune, MaharashtraSee popular questions & answers about Capgemini"
24,Python Developer Intern,Asian Hr Consultant,,"Jaipur, Rajasthan•Remote","₹15,000 - ₹20,000 a month","Must have knowledge of the below mentioned topics:Web Scrapping Libraries like (Beautiful Soap, Request).Contact ONLY IF you know or have studied about the…1 day ago·More...View all Asian Hr Consultant jobs - Jaipur jobsSalary Search: Python Developer Intern salaries in Jaipur, Rajasthan"
25,Software Developer - Python,Asian Hr Consultant,,"Amritsar, Punjab•Remote","₹25,000 - ₹35,000 a month","To Work in Team for Developing Desktop & Web Applications.Freshers can Apply with minimum 1 Year work Experience.Encryption Knowledge of libraries is MUST.4 days ago·More...View all Asian Hr Consultant jobs - Amritsar jobsSalary Search: Software Developer - Python salaries in Amritsar, Punjab"
26,Python Developer,Marut Dronetech Private Limited,,"Hyderabad, Telangana","₹45,000 - ₹65,000 a month","*Writing effective and scalable Python codes for large scale visualization.*.*Building interactive and complex data visualizations and analysis tools (e.g.,…2 days ago·More...View all Marut Dronetech Private Limited jobs - Hyderabad jobsSalary Search: Python Developer salaries in Hyderabad, Telangana"
27,Python/Django Developer,Humantech Solutions India Pvt. Ltd,,Temporarily Remote,"₹4,00,000 - ₹8,00,000 a year","You should have excellent programming skills in core python and frameworks – Django, Flask.We enable our clients to meet their business objectives.3 days ago·More...View all Humantech Solutions India Pvt. Ltd jobs - Remote jobsSalary Search: Python/Django Developer salaries in Remote"
28,Python and AWS Developer,Thinkbridge Software,,"Pune, Maharashtra•Remote","₹65,000 a month","Permanent 100% remote work.All leaves taken are paid leaves.Insurance cover for your family with optional cover for your parents.10 days ago·More...View all Thinkbridge Software jobs - Pune jobsSalary Search: Python and AWS Developer salaries in Pune, Maharashtra"
29,Python Developer,Penn Infotech,3.7,"Hyderabad, Telangana","₹12,539 - ₹60,469 a month","Developer engineer Experience in : Automation Engineer with Python Framework or equivalent with Good Hands on in Python.24 days ago·More...View all Penn Infotech jobs - Hyderabad jobsSalary Search: Python Developer salaries in Hyderabad, Telangana"
30,Python Developer,Gathi Analytics,,"Hyderabad, Telangana",,"As a Python Developer, your responsibilities include working with distributed data processing, writing and testing code, debugging programs, and integrating…29 days ago·More...View all Gathi Analytics jobs - Hyderabad jobsSalary Search: Python Developer salaries in Hyderabad, Telangana"
31,Python/AI/Big Data Developer | Research Profile,RannLab Technologies,,"Greater Noida, Uttar Pradesh","₹1,40,000 - ₹2,40,000 a year","Must have knowledge about python/AI/ML/R.Design and build advanced applications for the Android/iOS/Console/Windows/Web platform.1 day ago·More...View all RannLab Technologies jobs - Greater Noida jobsSalary Search: Python/AI/Big Data Developer | Research Profile salaries in Greater Noida, Uttar Pradesh"
32,Python Developer (Application Development),Morgan Stanley,3.9,"Bengaluru, Karnataka",,"EDUCATION LEVEL: Bachelor's Degree.Morgan Stanley's sizeable investment in technology results in quantitative trading systems, cutting-edge modelling and…1 day ago·More...View all Morgan Stanley jobs - Bengaluru jobsSalary Search: Python Developer (Application Development) salaries in Bengaluru, KarnatakaSee popular questions & answers about Morgan Stanley"
33,Python/Django Developer,Upperthrust Technologies Pvt.Ltd.,,"Hyderabad, Telangana•Remote","₹17,00,000 a year","Rigorous coding experience in python.Experience on any cloud environments (AWS, GCP or Azure).Experience in working with different SQL and No SQL databases.8 days ago·More...View all Upperthrust Technologies Pvt.Ltd. jobs - Hyderabad jobsSalary Search: Python/Django Developer salaries in Hyderabad, Telangana"
34,Python Developer Intern,JOBMINAR,,"Hyderabad, Telangana•Remote","₹5,000 - ₹10,000 a month","Job Types: Full-time, Internship.9 days ago·More...View all JOBMINAR jobs - Hyderabad jobsSalary Search: Python Developer Intern salaries in Hyderabad, Telangana"
35,Software Developer,Viswam Edutech solutions Pvt Limited,,"Hyderabad, Telangana","₹10,000 - ₹25,000 a month","Java, testing with selenium, python, UI, Andriod /IOS, DEVOps, Node JS, word press, Dot net.Any Degree technical degree (excluding 2020 and 2021 passed outs).9 days ago·More...View all Viswam Edutech solutions Pvt Limited jobs - Hyderabad jobsSalary Search: Software Developer salaries in Hyderabad, Telangana"
36,Python Developer,Apptad Technology Private Limited,,"Bengaluru, Karnataka","₹70,00,000 a year","6 plus years of work experience in Python.Understanding the requirement and ability to relate to statistical algorithms.Hands-on experience with SQL.9 days ago·More...View all Apptad Technology Private Limited jobs - Bengaluru jobsSalary Search: Python Developer salaries in Bengaluru, Karnataka"
37,Python Developer,iNFOX Technologies,4.0,"Ernakulam, Kerala+1 location•Temporarily Remote","₹15,000 - ₹21,000 a month","Coordinating with development teams to determine application requirements.Writing scalable code using Python programming language.Temporarily due to COVID-19.2 days ago·More...View all iNFOX Technologies jobs - Ernakulam jobsSalary Search: Python Developer salaries in Ernakulam, Kerala"
38,Job Role: ETL Datastage Developer,Newt Global Consulting LLC,,"Hyderabad, Telangana",,"ETL Datastage, SQL & Unix scripting are mandatory.Any scheduling tool experience is required (Airflow, Control M, etc).Jenkins & Python are good to have.3 days ago·More...View all Newt Global Consulting LLC jobs - Hyderabad jobsSalary Search: Job Role: ETL Datastage Developer salaries in Hyderabad, Telangana"
39,Python Backend Developer,Edwisely,,"Hyderabad, Telangana•Temporarily Remote",,"2+ years of professional non-internship experience as a Python developer or a similar role.The individual has to have a genuine passion for technology and…9 days ago·More...View all Edwisely jobs - Hyderabad jobsSalary Search: Python Backend Developer salaries in Hyderabad, Telangana"
40,Python Developer,SAMSHA INFOTECH (IT SERVICES),,"Hyderabad, Telangana","₹12,545 - ₹60,476 a month","Contract Role: W2 or C2C.Candidate should have at least 3 years of development experience working with Python and several years of development experience.22 days ago·More...View all SAMSHA INFOTECH (IT SERVICES) jobs - Hyderabad jobsSalary Search: Python Developer salaries in Hyderabad, Telangana"
41,Python Developer - ** 30 days joinee only **,IFINTALENT GLOBAL PVT LTD,,"Hyderabad, Telangana",,"Looking for Python developers with strong oops concepts experience and python libraries with linux / unix experience.Only 30days JOINEE is preferred*.19 days ago·More...View all IFINTALENT GLOBAL PVT LTD jobs - Hyderabad jobsSalary Search: Python Developer - ** 30 days joinee only ** salaries in Hyderabad, Telangana"
42,Python Developer,Kissflow,,"Chennai, Tamil Nadu",,"You will be working as a Software Engineer in our kissflow product. Strong knowledge in Python is mandatory Knowledge in one or more frameworks like WSGI(uwsgi…7 days ago·More...View all Kissflow jobs - Chennai jobsSalary Search: Python Developer salaries in Chennai, Tamil Nadu"
43,Python Developer,Jangoo Technologies,,"Delhi, Delhi","₹5,50,000 a year","D-1/1271, Vasant Kunj, New Delhi-110070.Job Types: Full-time, Contract.1 day ago·More...View all Jangoo Technologies jobs - Delhi jobsSalary Search: Python Developer salaries in Delhi, Delhi"
44,Tableau Developer,Screative Software Services Pvt.ltd,4.0,"Hyderabad, Telangana•Remote",,"Responsible for developing solutions in Tableau with expertise in Advanced Vizualisations including extensive experience in sourcing, processing, managing &…3 days ago·More...View all Screative Software Services Pvt.ltd jobs - Hyderabad jobsSalary Search: Tableau Developer salaries in Hyderabad, TelanganaSee popular questions & answers about Screative Software Services Pvt.ltd"
45,python resources,Globex Digital Solutions,,"Hyderabad, Telangana","₹7,50,000 - ₹12,00,000 a year","Design multi-tenant Microservice architecture.Design and develop various microservices like.Entitlement Service, infra metering, aggregation, provisioning and…30+ days ago·More...View all Globex Digital Solutions jobs - Hyderabad jobs"
46,Python Developer,Marlabs Innovations Private Limited,,"Bengaluru, Karnataka•Temporarily Remote",,"Total work: 2 years (Preferred).Temporarily due to COVID-19.3 days ago·More...View all Marlabs Innovations Private Limited jobs - Bengaluru jobsSalary Search: Python Developer salaries in Bengaluru, Karnataka"
47,python resources,Globex Digital Solutions,,"Hyderabad, Telangana","₹7,50,000 - ₹12,00,000 a year","Design multi-tenant Microservice architecture.Design and develop various microservices like.Entitlement Service, infra metering, aggregation, provisioning and…30+ days ago·More...View all Globex Digital Solutions jobs - Hyderabad jobs"
48,Python Developer,Marlabs Innovations Private Limited,,"Bengaluru, Karnataka•Temporarily Remote",,"Total work: 2 years (Preferred).Temporarily due to COVID-19.3 days ago·More...View all Marlabs Innovations Private Limited jobs - Bengaluru jobsSalary Search: Python Developer salaries in Bengaluru, Karnataka"
49,Python Developer,Accolite Digital,3.8,"Bengaluru, Karnataka•Temporarily Remote",,"3 to 5 years of experience in Python.Good be hands on with/ good knowledge on Flask You have setup and deployed applications in common infrastructure service…23 days ago·More...View all Accolite Digital jobs - Bengaluru jobsSalary Search: Python Developer salaries in Bengaluru, Karnataka"
50,Python Developer,Tridz Technologies,,"Bengaluru, Karnataka•Remote","₹15,000 - ₹45,000 a month","Ability to work as a full stack developer.We have been helping global clients including Zest Money, Azim Premji Foundation, Arghyam Foundation, Decathlon etc…3 days ago·More...View all Tridz Technologies jobs - Bengaluru jobsSalary Search: Python Developer salaries in Bengaluru, Karnataka"
51,Sr. Python Developer/Lead Python Developer - Part Time,Vipany Group,,"Hyderabad, Telangana","₹4,00,000 - ₹9,00,000 a year","2 Hours of work on daily basis.Mr. Srikalyan identified a large gap across many areas of organizations throughout his 15+ years of auditing expertise, having…16 days ago·More...View all Vipany Group jobs - Hyderabad jobsSalary Search: Sr. Python Developer/Lead Python Developer - Part Time salaries in Hyderabad, Telangana"
52,Python Developer,Gridlogic,,"Hyderabad, Telangana",,"XML parsing and generation using python.Experience in using python on Linux.Making daemon programs in Linux using python.30+ days ago·More...View all Gridlogic jobs - Hyderabad jobsSalary Search: Python Developer salaries in Hyderabad, Telangana"
53,Application Developer,Kyndryl,,"Hyderabad, Telangana+1 location",,"Please be aware Kyndryl will continue to use some IBM systems for a certain period after spin-off.This means when you sign up to either the IBM or Kyndryl…1 day ago·More...View all Kyndryl jobs - Hyderabad jobsSalary Search: Application Developer salaries in Hyderabad, Telangana"
54,Python Developer,skincare work,,"Bengaluru, Karnataka•Temporarily Remote","₹12,539 - ₹60,460 a month","Performance tuning and automation of application.Testing and debugging software applications with Python test framework tools like Behave, Pytest, PyUnit, etc.9 days ago·More...View all skincare work jobs - Bengaluru jobsSalary Search: Python Developer salaries in Bengaluru, Karnataka"
55,Hiring AWS with Python Developer,Achala IT Solutions,,"Hyderabad, Telangana•Temporarily Remote","₹4,00,000 - ₹10,00,000 a year","Expert in Python, with work experience in AWS.Strong tech competencies in AWS and Python.Must have hands-on experience on AWS services likes s3, lambda, IAM,…30+ days ago·More...View all Achala IT Solutions jobs - Hyderabad jobsSalary Search: Hiring AWS with Python Developer salaries in Hyderabad, Telangana"
56,RPA Developer,Tech Mahindra,,"Hyderabad, Telangana•Temporarily Remote","₹18,00,000 - ₹22,00,000 a year","Strong Uipath and RPA experience must have developed in the range of 20-50 processes - *MUST*.OCR tool experience in any of the following engines preferably…4 days ago·More...View all Tech Mahindra jobs - Hyderabad jobsSalary Search: RPA Developer salaries in Hyderabad, Telangana"
57,Junior Python Developer,Linescripts Softwares Pvt. Ltd.,,"Pune, Maharashtra","₹12,596 - ₹31,873 a month","Familiarity with front-end technologies (JavaScript and HTML).Expertise in SQL/Database programming.Knowledge of object-relational mapping (ORM).21 days ago·More...View all Linescripts Softwares Pvt. Ltd. jobs - Pune jobsSalary Search: Junior Python Developer salaries in Pune, Maharashtra"
58,Python Developer,Canopus Infosystems PVT LTD,,"Indore, Madhya Pradesh","₹2,00,000 - ₹5,00,000 a year","Integration of user-facing elements developed by front-end developers with server side logic.Writing reusable, testable, and efficient code.11 days ago·More...View all Canopus Infosystems PVT LTD jobs - Indore jobsSalary Search: Python Developer salaries in Indore, Madhya Pradesh"
59,Python (Twisted) Developer,Grid Logic Software Private Limited,,"Hyderabad, Telangana",,"Your ultimate goal is to create high-quality products that meet customer needs.Help design and implement functional requirements.Manage testing and bug fixes.4 days ago·More...View all Grid Logic Software Private Limited jobs - Hyderabad jobsSalary Search: Python (Twisted) Developer salaries in Hyderabad, Telangana"
